_id,spotify_features.danceability,spotify_features.energy,spotify_features.key,spotify_features.loudness,spotify_features.mode,spotify_features.speechiness,spotify_features.acousticness,spotify_features.instrumentalness,spotify_features.liveness,spotify_features.valence,spotify_features.tempo,spotify_features.type,spotify_features.duration_ms,spotify_features.time_signature
5f6a623b61d3b237bb014128,0.143,0.192,1,-15.355,1,0.0376,0.971,0.02,0.183,0.127,79.619,audio_features,244773,3
5f6a623b61d3b237bb014129,0.542,0.806,8,-4.973,1,0.0482,0.0021,0.436,0.291,0.333,140.155,audio_features,274333,4
5f6a623b61d3b237bb01412a,0.787,0.0742,1,-26.53,1,0.104,0.0982,0.162,0.284,0.162,125.017,audio_features,121960,4
5f6a623b61d3b237bb01412b,0.606,0.566,6,-8.526,0,0.0289,0.0179,0.206,0.101,0.205,123.945,audio_features,308067,1
5f6a623b61d3b237bb01412c,0.781,0.926,0,-6.327,1,0.0751,0.0198,0,0.207,0.9,132.962,audio_features,180480,4
5f6a623b61d3b237bb01412d,0.504,0.856,1,-6.647,0,0.105,0.00123,0.000384,0.124,0.166,180.116,audio_features,208213,4
5f6a623b61d3b237bb01412e,0.516,0.919,1,-7.735,0,0.0439,0.00216,0.765,0.691,0.49,178.046,audio_features,352333,4
5f6a623b61d3b237bb01412f,0.745,0.736,7,-6.975,0,0.086,0.00495,0.693,0.478,0.197,115.011,audio_features,333173,4
5f6a623b61d3b237bb014130,0.815,0.932,1,-6.261,1,0.0959,0.0108,0.00515,0.0596,0.524,128.015,audio_features,273547,4
5f6a623b61d3b237bb014131,0.275,0.536,10,-12.787,0,0.115,0.315,0.00000582,0.374,0.224,79.639,audio_features,77267,4
5f6a623b61d3b237bb014132,0.479,0.829,1,-3.841,1,0.0456,0.0000249,0.166,0.103,0.154,132.055,audio_features,215373,4
5f6a623b61d3b237bb014133,0.503,0.674,7,-9.619,1,0.0699,0.000667,0.621,0.503,0.239,127.006,audio_features,379787,4
5f6a623b61d3b237bb014134,0.708,0.792,7,-8.317,1,0.0509,0.000537,0.573,0.445,0.258,128.029,audio_features,299227,4
5f6a623b61d3b237bb014135,0.872,0.363,1,-13.507,0,0.139,0.615,0.283,0.119,0.28,124.048,audio_features,296480,4
5f6a623b61d3b237bb014136,0.575,0.95,9,-4.994,1,0.0511,0.00204,0.841,0.0731,0.218,89.001,audio_features,215413,4
5f6a623b61d3b237bb014137,0.761,0.572,8,-3.783,1,0.0399,0.000483,0.000179,0.127,0.305,129.983,audio_features,252480,4
5f6a623b61d3b237bb014138,0.598,0.625,11,-6.73,0,0.235,0.000223,0.0000208,0.38,0.273,130.002,audio_features,256088,4
5f6a623b61d3b237bb014139,0.749,0.826,7,-6.644,1,0.137,0.0000638,0.453,0.107,0.426,124,audio_features,340662,4
5f6a623b61d3b237bb01413a,0.503,0.761,5,-7.936,1,0.0623,0.00139,0.542,0.673,0.0323,127.951,audio_features,314985,4
5f6a623b61d3b237bb01413b,0.449,0.947,2,-4.01,1,0.0809,0.000117,0.195,0.0856,0.325,165.051,audio_features,237140,4
5f6a623b61d3b237bb01413c,0.619,0.827,6,-6.075,1,0.0435,0.000522,0.00362,0.124,0.373,143.969,audio_features,205070,4
5f6a623b61d3b237bb01413d,0.546,0.897,7,-5.173,1,0.0648,0.00569,0.763,0.201,0.305,134.974,audio_features,259414,4
5f6a623b61d3b237bb01413e,,,,,,,,,,,,,,
5f6a623b61d3b237bb01413f,0.597,0.859,9,-4.236,1,0.0289,0.000191,0.52,0.119,0.226,133.983,audio_features,372157,4
5f6a623b61d3b237bb014140,0.53,0.852,10,-6.252,0,0.0308,0.0015,0.576,0.387,0.304,132.978,audio_features,312344,4
5f6a623b61d3b237bb014141,0.252,0.752,11,-7.171,1,0.0463,0.000425,0.000133,0.085,0.0333,123.985,audio_features,328065,4
5f6a623b61d3b237bb014142,0.482,0.927,1,-5.553,0,0.0485,0.000176,0.88,0.0685,0.19,177.981,audio_features,212429,4
5f6a623b61d3b237bb014143,0.811,0.525,5,-4.297,1,0.0484,0.0000454,0.184,0.0963,0.0949,129.958,audio_features,236484,4
5f6a623b61d3b237bb014144,,,,,,,,,,,,,,
5f6a623b61d3b237bb014145,,,,,,,,,,,,,,
5f6a623b61d3b237bb014146,,,,,,,,,,,,,,
